nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 GET /broadcast/broadcast2
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 Returned 200 in 25 ms
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 Returned 304 in 6 ms
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 Returned 304 in 12 ms
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 Returned 304 in 6 ms
 HTTP  9/7/2025 9:59:12 AM 127.0.0.1 Returned 304 in 16 ms
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 GET /broadcast/broadcast2
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 9:59:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 10:01:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:01:20 AM 127.0.0.1 GET /img/LoginPage.596311b2.png
 HTTP  9/7/2025 10:01:20 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  9/7/2025 10:01:23 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 10:01:23 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:01:38 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 10:01:38 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 10:02:07 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:12:27 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:12:27 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:23:06 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:23:06 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:23:43 AM 161.97.181.43 GET /
 HTTP  9/7/2025 10:23:43 AM 161.97.181.43 Returned 200 in 2 ms
 HTTP  9/7/2025 10:45:36 AM 127.0.0.1 GET /robots.txt
 HTTP  9/7/2025 10:45:36 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:46:12 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:46:12 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:47:11 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:47:11 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:47:11 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:47:11 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2025 10:47:22 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:47:22 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:47:37 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 10:47:37 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:47:38 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 10:47:38 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:47:53 AM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 10:47:53 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:48:26 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2025 10:48:26 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:48:45 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 10:48:45 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:49:08 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:49:08 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:49:35 AM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 10:49:35 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:50:38 AM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 10:50:38 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:51:13 AM 127.0.0.1 GET /img/LoginPage.596311b2.png
 HTTP  9/7/2025 10:51:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:51:51 AM 127.0.0.1 GET /js/chunk-vendors.0059c332.js.map
 HTTP  9/7/2025 10:51:51 AM 127.0.0.1 Returned 200 in 23 ms
 HTTP  9/7/2025 10:52:14 AM 127.0.0.1 GET /img/chat-bg.35d580ab.jpg
 HTTP  9/7/2025 10:52:14 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:52:45 AM 127.0.0.1 GET /js/$%7Be.example.header_handle[0]%7D
 HTTP  9/7/2025 10:52:45 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:53:04 AM 127.0.0.1 GET /js/app.e2f12930.js.map
 HTTP  9/7/2025 10:53:04 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 10:53:20 AM 127.0.0.1 GET /
 HTTP  9/7/2025 10:53:20 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 10:53:34 AM 127.0.0.1 GET /js/$%7Be.url%7D
 HTTP  9/7/2025 10:53:34 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 11:03:25 AM 127.0.0.1 GET /
 HTTP  9/7/2025 11:03:25 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 11:27:16 AM 127.0.0.1 GET /
 HTTP  9/7/2025 11:27:16 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:34:12 PM 127.0.0.1 GET /
 HTTP  9/7/2025 12:34:12 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:34:12 PM 127.0.0.1 GET /
 HTTP  9/7/2025 12:34:12 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/7/2025 12:38:26 PM 71.6.134.232 GET /
 HTTP  9/7/2025 12:38:26 PM 71.6.134.232 Returned 200 in 1 ms
 HTTP  9/7/2025 12:38:57 PM 71.6.134.232 GET /favicon.ico
 HTTP  9/7/2025 12:38:57 PM 71.6.134.232 Returned 200 in 1 ms
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 GET /
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 GET /css/chunk-vendors.03d44498.css
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 GET /css/app.74787057.css
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 GET /js/chunk-vendors.0059c332.js
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2025 12:40:32 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2025 12:40:33 PM 127.0.0.1 GET /js/app.e2f12930.js
 HTTP  9/7/2025 12:40:33 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 GET /
 HTTP  9/7/2025 12:40:37 PM 127.0.0.1 Returned 200 in 2 ms
